KEYWORD,LABEL
Acacia Research Corporation,COMPANY_NAME
Acme United Corporation.,COMPANY_NAME
AllianzGI Diversified Income & Convertible Fund of Beneficial Interest,COMPANY_NAME
iShares MSCI ACWI Index Fund,COMPANY_NAME
iShares Edge MSCI Min Vol Global,COMPANY_NAME
iShares MSCI ACWI ex US Index Fund,COMPANY_NAME
AeroCentury Corp.,COMPANY_NAME
Adaptimmune Therapeutics plc,COMPANY_NAME
Adobe Inc.,COMPANY_NAME
Agree Realty Corporation,COMPANY_NAME
Advanced Emissions Solutions Inc.,COMPANY_NAME
Analog Devices Inc.,COMPANY_NAME
Adial Pharmaceuticals Inc,COMPANY_NAME
Archer-Daniels-Midland Company,COMPANY_NAME
ADMA Biologics Inc,COMPANY_NAME
Adamis Pharmaceuticals Corporation,COMPANY_NAME
Adamas Pharmaceuticals Inc.,COMPANY_NAME
Adient plc,COMPANY_NAME
ADOMANI Inc.,COMPANY_NAME
Automatic Data Processing Inc.,COMPANY_NAME
Invesco BLDRS Asia 50 ADR Index Fund,COMPANY_NAME
Invesco BLDRS Developed Markets 100 ADR Index Fund,COMPANY_NAME
Invesco BLDRS Emerging Markets 50 ADR Index Fund,COMPANY_NAME
Aduro Biotech Inc.,COMPANY_NAME
Invesco BLDRS Europe Select ADR Index Fund,COMPANY_NAME
Alliance Data Systems Corporation,COMPANY_NAME
Autodesk Inc.,COMPANY_NAME
Advanced Disposal Services Inc.,COMPANY_NAME
ADT Inc.,COMPANY_NAME
ADTRAN Inc.,COMPANY_NAME
Addus HomeCare Corporation,COMPANY_NAME
Adverum Biotechnologies Inc.,COMPANY_NAME
Adams Diversified Equity Fund Inc.,COMPANY_NAME
Advaxis Inc.,COMPANY_NAME
Adams Resources & Energy Inc.,COMPANY_NAME
Ameren Corporation,COMPANY_NAME
Aberdeen Emerging Markets Equity Income Fund Inc.,COMPANY_NAME
AEGON N.V.,COMPANY_NAME
Aegion Corp,COMPANY_NAME
Aehr Test Systems,COMPANY_NAME
Advanced Energy Industries Inc.,COMPANY_NAME
American Equity Investment Life Holding Company,COMPANY_NAME
Agnico Eagle Mines Limited,COMPANY_NAME
Aethlon Medical Inc.,COMPANY_NAME
American Eagle Outfitters Inc.,COMPANY_NAME
American Electric Power Company Inc.,COMPANY_NAME
AerCap Holdings N.V.,COMPANY_NAME
Aerie Pharmaceuticals Inc.,COMPANY_NAME
The AES Corporation,COMPANY_NAME
American Electric Technologies Inc.,COMPANY_NAME
ADDvantage Technologies Group Inc.,COMPANY_NAME
AudioEye Inc.,COMPANY_NAME
Aeterna Zentaris Inc.,COMPANY_NAME
AllianceBernstein National Municipal Income Fund Inc,COMPANY_NAME
American Financial Group Inc.,COMPANY_NAME
Atlas Financial Holdings Inc.,COMPANY_NAME
Armstrong Flooring Inc.,COMPANY_NAME
American Finance Trust Inc.,COMPANY_NAME
VanEck Vectors-Africa Index,COMPANY_NAME
AFLAC Incorporated,COMPANY_NAME
Affimed N.V.,COMPANY_NAME
Apollo Senior Floating Rate Fund Inc.,COMPANY_NAME
First Majestic Silver Corp. (Canada),COMPANY_NAME
AGCO Corporation,COMPANY_NAME
Aberdeen Global Dynamic Dividend Fund,COMPANY_NAME
AgeX Therapeutics Inc.,COMPANY_NAME
Agenus Inc.,COMPANY_NAME
DB Agriculture Long ETN due April 1 2038,COMPANY_NAME
AgroFresh Solutions Inc.,COMPANY_NAME
iShares Core U.S. Aggregate Bond,COMPANY_NAME
Alamos Gold Inc. Class A,COMPANY_NAME
Agios Pharmaceuticals Inc.,COMPANY_NAME
Aeglea BioTherapeutics Inc.,COMPANY_NAME
Federal Agricultural Mortgage Corporation,COMPANY_NAME
Federal Agricultural Mortgage Corporation,COMPANY_NAME
AGM Group Holdings Inc.,COMPANY_NAME
Allergan plc,COMPANY_NAME
AGNC Investment Corp.,COMPANY_NAME
Assured Guaranty Ltd.,COMPANY_NAME
ProShares Ultra Silver,COMPANY_NAME
Avangrid Inc.,COMPANY_NAME
Adecoagro S.A.,COMPANY_NAME
Agile Therapeutics Inc.,COMPANY_NAME
PlayAGS Inc.,COMPANY_NAME
Applied Genetic Technologies Corporation,COMPANY_NAME
Argan Inc.,COMPANY_NAME
Agilysys Inc.,COMPANY_NAME
iShares Agency Bond,COMPANY_NAME
A.H. Belo Corporation (TX),COMPANY_NAME
Armada Hoffler Properties Inc.,COMPANY_NAME
Aspen Insurance Holdings Limited,COMPANY_NAME
Allied Healthcare Products Inc.,COMPANY_NAME
Ashford Hospitality Trust Inc,COMPANY_NAME
Arlington Asset Investment Corp Class A (new),COMPANY_NAME
iShares Asia 50 ETF,COMPANY_NAME
Apollo Tactical Income Fund Inc.,COMPANY_NAME
American International Group Inc.,COMPANY_NAME
Senmiao Technology Limited,COMPANY_NAME
Altra Industrial Motion Corp.,COMPANY_NAME
Aimmune Therapeutics Inc.,COMPANY_NAME
Albany International Corporation,COMPANY_NAME
Ashford Inc. (Holding Company),COMPANY_NAME
Apollo Investment Corporation,COMPANY_NAME
Precision Therapeutics Inc.,COMPANY_NAME
AAR Corp.,COMPANY_NAME
Airgain Inc.,COMPANY_NAME
Air Industries Group,COMPANY_NAME
Air T Inc.,COMPANY_NAME
Applied Industrial Technologies Inc.,COMPANY_NAME
Apartment Investment and Management Company,COMPANY_NAME
Assurant Inc.,COMPANY_NAME
Arthur J. Gallagher & Co.,COMPANY_NAME
Aerojet Rocketdyne Holdings Inc.,COMPANY_NAME
Great Ajax Corp.,COMPANY_NAME
Akamai Technologies Inc.,COMPANY_NAME
Achaogen Inc.,COMPANY_NAME
Akebia Therapeutics Inc.,COMPANY_NAME
Akcea Therapeutics Inc.,COMPANY_NAME
Akers Biosciences Inc.,COMPANY_NAME
Asanko Gold Inc.,COMPANY_NAME
Embotelladora Andina S.A.,COMPANY_NAME
Embotelladora Andina S.A.,COMPANY_NAME
Alliance California Municipal Income Fund Inc,COMPANY_NAME
Acadia Realty Trust,COMPANY_NAME
Akorn Inc.,COMPANY_NAME
AK Steel Holding Corporation,COMPANY_NAME
Akoustis Technologies Inc.,COMPANY_NAME
Akari Therapeutics Plc,COMPANY_NAME
Air Lease Corporation Class A,COMPANY_NAME
Alberton Acquisition Corporation,COMPANY_NAME
Albemarle Corporation,COMPANY_NAME
Albireo Pharma Inc.,COMPANY_NAME
Alico Inc.,COMPANY_NAME
WisdomTree Asia Local Debt Fund,COMPANY_NAME
Alder BioPharmaceuticals Inc.,COMPANY_NAME
Aldeyra Therapeutics Inc.,COMPANY_NAME
Allete Inc.,COMPANY_NAME
Alexander & Baldwin Inc. REIT Holding Company,COMPANY_NAME
AlphaClone Alternative Alpha,COMPANY_NAME
Alamo Group Inc.,COMPANY_NAME
Align Technology Inc.,COMPANY_NAME
Allegro Merger Corp.,COMPANY_NAME
Allegiant Travel Company,COMPANY_NAME
Alimera Sciences Inc.,COMPANY_NAME
ALJ Regional Holdings Inc.,COMPANY_NAME
Alaska Air Group Inc.,COMPANY_NAME
Alkermes plc,COMPANY_NAME
Allstate Corporation (The),COMPANY_NAME
Allegion plc,COMPANY_NAME
Allakos Inc.,COMPANY_NAME
Allogene Therapeutics Inc.,COMPANY_NAME
Allot Ltd.,COMPANY_NAME
Ally Financial Inc.,COMPANY_NAME
Allena Pharmaceuticals Inc.,COMPANY_NAME
Alnylam Pharmaceuticals Inc.,COMPANY_NAME
Alio Gold Inc. (Canada),COMPANY_NAME
AstroNova Inc.,COMPANY_NAME
Alpine Immune Sciences Inc.,COMPANY_NAME
Alliqua BioMedical Inc.,COMPANY_NAME
Alarm.com Holdings Inc.,COMPANY_NAME
Aileron Therapeutics Inc.,COMPANY_NAME
Alaska Communications Systems Group Inc.,COMPANY_NAME
Allison Transmission Holdings Inc.,COMPANY_NAME
Altimmune Inc.,COMPANY_NAME
Altus Midstream Company,COMPANY_NAME
Altair Engineering Inc.,COMPANY_NAME
Autoliv Inc.,COMPANY_NAME
Alexander's Inc.,COMPANY_NAME
Alexion Pharmaceuticals Inc.,COMPANY_NAME
Alithya Group inc.,COMPANY_NAME
Antero Midstream Partners LP representing limited partner interests,COMPANY_NAME
AMAG Pharmaceuticals Inc.,COMPANY_NAME
Amalgamated Bank,COMPANY_NAME
Applied Materials Inc.,COMPANY_NAME
Ambarella Inc.,COMPANY_NAME
Ambac Financial Group Inc.,COMPANY_NAME
Ambow Education Holding Ltd. American Depository Shares each representing two Class A,COMPANY_NAME
Amber Road Inc.,COMPANY_NAME
AMC Entertainment Holdings Inc. Class A,COMPANY_NAME
AMCI Acquisition Corp.,COMPANY_NAME
AirMedia Group Inc,COMPANY_NAME
AMC Networks Inc.,COMPANY_NAME
Advanced Micro Devices Inc.,COMPANY_NAME
AMETEK Inc.,COMPANY_NAME
Amedisys Inc,COMPANY_NAME
Apollo Medical Holdings Inc.,COMPANY_NAME
Affiliated Managers Group Inc.,COMPANY_NAME
Amgen Inc.,COMPANY_NAME
Antero Midstream GP LP of Beneficial Interests,COMPANY_NAME
American Homes 4 Rent of Beneficial Interest,COMPANY_NAME
American Midstream Partners LP representing Limited Partner Interests,COMPANY_NAME
JPMorgan Chase Capital XVI JP Morgan Alerian MLP ETN,COMPANY_NAME
Amkor Technology Inc.,COMPANY_NAME
Alerian MLP,COMPANY_NAME
AMN Healthcare Services Inc,COMPANY_NAME
American National Bankshares Inc.,COMPANY_NAME
Allied Motion Technologies Inc.,COMPANY_NAME
America Movil S.A.B. de C.V. Class An Depositary Shares,COMPANY_NAME
Ameriprise Financial Inc.,COMPANY_NAME
Ampio Pharmaceuticals Inc.,COMPANY_NAME
Amphastar Pharmaceuticals Inc.,COMPANY_NAME
Alta Mesa Resources Inc.,COMPANY_NAME
American River Bankshares,COMPANY_NAME
Ameresco Inc. Class A,COMPANY_NAME
Ameri Holdings Inc.,COMPANY_NAME
A-Mark Precious Metals Inc.,COMPANY_NAME
Amarin Corporation plc,COMPANY_NAME
Amyris Inc.,COMPANY_NAME
Amneal Pharmaceuticals Inc. Class A,COMPANY_NAME
American Shared Hospital Services,COMPANY_NAME
American Superconductor Corporation,COMPANY_NAME
AMERISAFE Inc.,COMPANY_NAME
American Software Inc. Class A Common Stock,COMPANY_NAME
American Tower Corporation (REIT),COMPANY_NAME
Mercantil Bank Holding Corporation,COMPANY_NAME
Mercantil Bank Holding Corporation Class B Common Stock,COMPANY_NAME
TD Ameritrade Holding Corporation,COMPANY_NAME
Aemetis Inc,COMPANY_NAME
American Woodmark Corporation,COMPANY_NAME
America Movil S.A.B. de C.V.n Depository Receipt Series L,COMPANY_NAME
Amazon.com Inc.,COMPANY_NAME
AutoNation Inc.,COMPANY_NAME
AnaptysBio Inc.,COMPANY_NAME
American National Insurance Company,COMPANY_NAME
The Andersons Inc.,COMPANY_NAME
Andeavor Logistics LP representing Limited Partner Interests,COMPANY_NAME
Arista Networks Inc.,COMPANY_NAME
Abercrombie & Fitch Company,COMPANY_NAME
Amira Nature Foods Ltd,COMPANY_NAME
ANGI Homeservices Inc.,COMPANY_NAME
VanEck Vectors Fallen Angel High Yield Bond,COMPANY_NAME
AngioDynamics Inc.,COMPANY_NAME
Anworth Mortgage Asset Corporation,COMPANY_NAME
Anika Therapeutics Inc.,COMPANY_NAME
ANI Pharmaceuticals Inc.,COMPANY_NAME
Anixa Biosciences Inc.,COMPANY_NAME
ANSYS Inc.,COMPANY_NAME
Anthem Inc.,COMPANY_NAME
Sphere 3D Corp.,COMPANY_NAME
iShares Core Aggressive Allocation,COMPANY_NAME
American Outdoor Brands Corporation,COMPANY_NAME
Aberdeen Total Dynamic Dividend Fund,COMPANY_NAME
iShares Core Conservative Allocation,COMPANY_NAME
iShares Core Moderate Allocation,COMPANY_NAME
Aon plc Class A (UK),COMPANY_NAME
iShares Core Growth Allocation,COMPANY_NAME
A.O. Smith Corporation,COMPANY_NAME
Alpha and Omega Semiconductor Limited,COMPANY_NAME
Ampco-Pittsburgh Corporation,COMPANY_NAME
Apache Corporation,COMPANY_NAME
Artisan Partners Asset Management Inc. Class A,COMPANY_NAME
Anadarko Petroleum Corporation,COMPANY_NAME
Air Products and Chemicals Inc.,COMPANY_NAME
Applied DNA Sciences Inc,COMPANY_NAME
American Public Education Inc.,COMPANY_NAME
Apollo Endosurgery Inc.,COMPANY_NAME
Morgan Stanley Asia-Pacific Fund Inc.,COMPANY_NAME
Amphenol Corporation,COMPANY_NAME
Aphria Inc.,COMPANY_NAME
AmpliPhi Biosciences Corporation,COMPANY_NAME
Apple Hospitality REIT Inc.,COMPANY_NAME
Apellis Pharmaceuticals Inc.,COMPANY_NAME
Aptorum Group Limited,COMPANY_NAME
Apollo Global Management LLC Class A Representing Class A Limitied Liability Company Interests,COMPANY_NAME
Apogee Enterprises Inc.,COMPANY_NAME
Cellect Biotechnology Ltd.,COMPANY_NAME
AppFolio Inc.,COMPANY_NAME
Appian Corporation,COMPANY_NAME
Digital Turbine Inc.,COMPANY_NAME
Blue Apron Holdings Inc. Class A,COMPANY_NAME
Alpha Pro Tech Ltd.,COMPANY_NAME
Aptose Biosciences Inc.,COMPANY_NAME
Preferred Apartment Communities Inc.,COMPANY_NAME
Aptiv PLC,COMPANY_NAME
Aptinyx Inc.,COMPANY_NAME
AmeriGas Partners L.P.,COMPANY_NAME
Aptevo Therapeutics Inc.,COMPANY_NAME
Asia Pacific Wire & Cable Corporation Limited,COMPANY_NAME
Apergy Corporation,COMPANY_NAME
Apyx Medical Corporation,COMPANY_NAME
Aquantia Corp.,COMPANY_NAME
AquaBounty Technologies Inc.,COMPANY_NAME
Aqua Metals Inc.,COMPANY_NAME
Algonquin Power & Utilities Corp.,COMPANY_NAME
Aquestive Therapeutics Inc.,COMPANY_NAME
Evoqua Water Technologies Corp.,COMPANY_NAME
Aquinox Pharmaceuticals Inc.,COMPANY_NAME
Antero Resources Corporation,COMPANY_NAME
American Renal Associates Holdings Inc,COMPANY_NAME
Aravive Inc.,COMPANY_NAME
Accuray Incorporated,COMPANY_NAME
ARC Document Solutions Inc.,COMPANY_NAME
ArcBest Corporation,COMPANY_NAME
Ares Capital Corporation,COMPANY_NAME
Arco Platform Limited,COMPANY_NAME
Arch Coal Inc. Class A,COMPANY_NAME
Appliance Recycling Centers of America Inc.,COMPANY_NAME
Arcos Dorados Holdings Inc. Class A Shares,COMPANY_NAME
Arcturus Therapeutics Ltd.,COMPANY_NAME
ARC Group Worldwide Inc.,COMPANY_NAME
Ardagh Group S.A.,COMPANY_NAME
Ares Dynamic Credit Allocation Fund Inc.,COMPANY_NAME
Aridis Pharmaceuticals Inc.,COMPANY_NAME
Ardelyx Inc.,COMPANY_NAME
Alexandria Real Estate Equities Inc.,COMPANY_NAME
Ares Management Corporation Class A,COMPANY_NAME
Approach Resources Inc.,COMPANY_NAME
Argo Group International Holdings Ltd.,COMPANY_NAME
argenx SE,COMPANY_NAME
Apollo Commercial Real Estate Finance Inc,COMPANY_NAME
Ark Restaurants Corp.,COMPANY_NAME
American Realty Investors Inc.,COMPANY_NAME
Arlo Technologies Inc.,COMPANY_NAME
Alliance Resource Partners L.P.,COMPANY_NAME
Aramark,COMPANY_NAME
Arena Pharmaceuticals Inc.,COMPANY_NAME
Arconic Inc.,COMPANY_NAME
Archrock Inc.,COMPANY_NAME
Arrow Financial Corporation,COMPANY_NAME
Aerpio Pharmaceuticals Inc.,COMPANY_NAME
ArQule Inc.,COMPANY_NAME
ARMOUR Residential REIT Inc.,COMPANY_NAME
ARRIS International plc,COMPANY_NAME
Array BioPharma Inc.,COMPANY_NAME
Artesian Resources Corporation Class A Non-Voting Common Stock,COMPANY_NAME
Art's-Way Manufacturing Co. Inc.,COMPANY_NAME
Arotech Corporation,COMPANY_NAME
Arvinas Inc.,COMPANY_NAME
Arrow Electronics Inc.,COMPANY_NAME
Arrowhead Pharmaceuticals Inc.,COMPANY_NAME
ARYA Sciences Acquisition Corp.,COMPANY_NAME
ASA Gold and Precious Metals Limited,COMPANY_NAME
Associated Banc-Corp,COMPANY_NAME
Ardmore Shipping Corporation,COMPANY_NAME
Ascent Capital Group Inc. Series A Common Stock,COMPANY_NAME
Global X FTSE Southeast Asia,COMPANY_NAME
Asta Funding Inc.,COMPANY_NAME
Liberty All-Star Growth Fund Inc.,COMPANY_NAME
ASGN Incorporated,COMPANY_NAME
Ashland Global Holdings Inc.,COMPANY_NAME
AdvanSix Inc.,COMPANY_NAME
ASLAN Pharmaceuticals Limited,COMPANY_NAME
Avino Silver & Gold Mines Ltd. (Canada),COMPANY_NAME
Assembly Biosciences Inc.,COMPANY_NAME
ASML Holding N.V.,COMPANY_NAME
Ascena Retail Group Inc.,COMPANY_NAME
Ascendis Pharma A/S,COMPANY_NAME
Arsanis Inc.,COMPANY_NAME
Aspen Aerogels Inc.,COMPANY_NAME
Altisource Portfolio Solutions S.A.,COMPANY_NAME
Aspen Group Inc.,COMPANY_NAME
Grupo Aeroportuario del Sureste S.A. de C.V.,COMPANY_NAME
Assertio Therapeutics Inc.,COMPANY_NAME
AmeriServ Financial Inc.,COMPANY_NAME
Asterias Biotherapeutics Inc. Common Series A,COMPANY_NAME
Astrotech Corporation,COMPANY_NAME
Astec Industries Inc.,COMPANY_NAME
Asure Software Inc,COMPANY_NAME
ASV Holdings Inc.,COMPANY_NAME
ASE Technology Holding Co. Ltd. American Depositary Shares (each representing Two),COMPANY_NAME
Amtech Systems Inc.,COMPANY_NAME
Atlantic Power Corporation (Canada),COMPANY_NAME
ATA Inc.,COMPANY_NAME
America First Multifamily Investors L.P.,COMPANY_NAME
Alphatec Holdings Inc.,COMPANY_NAME
A10 Networks Inc.,COMPANY_NAME
Adtalem Global Education Inc.,COMPANY_NAME
Athene Holding Ltd. Class A,COMPANY_NAME
Autohome Inc. American Depositary Shares each representing one class A.,COMPANY_NAME
athenahealth Inc.,COMPANY_NAME
Athersys Inc.,COMPANY_NAME
Allegheny Technologies Incorporated,COMPANY_NAME
Attis Industries Inc.,COMPANY_NAME
Atkore International Group Inc.,COMPANY_NAME
Atlanticus Holdings Corporation,COMPANY_NAME
Ames National Corporation,COMPANY_NAME
ATN International Inc.,COMPANY_NAME
Actinium Pharmaceuticals Inc. (Delaware),COMPANY_NAME
Athenex Inc.,COMPANY_NAME
Atmos Energy Corporation,COMPANY_NAME
Atomera Incorporated,COMPANY_NAME
Atossa Genetics Inc.,COMPANY_NAME
AptarGroup Inc.,COMPANY_NAME
Atara Biotherapeutics Inc.,COMPANY_NAME
AtriCure Inc.,COMPANY_NAME
Atrion Corporation,COMPANY_NAME
Astronics Corporation,COMPANY_NAME
Antares Pharma Inc.,COMPANY_NAME
Air Transport Services Group Inc,COMPANY_NAME
Atento S.A.,COMPANY_NAME
Attunity Ltd.,COMPANY_NAME
Actuant Corporation,COMPANY_NAME
Altice USA Inc. Class A,COMPANY_NAME
Acorn International Inc. ADS,COMPANY_NAME
Activision Blizzard Inc,COMPANY_NAME
Avenue Therapeutics Inc.,COMPANY_NAME
AngloGold Ashanti Limited,COMPANY_NAME
Auburn National Bancorporation Inc.,COMPANY_NAME
AudioCodes Ltd.,COMPANY_NAME
Auryn Resources Inc.,COMPANY_NAME
Golden Minerals Company,COMPANY_NAME
AU Optronics Corp American Depositary Shares,COMPANY_NAME
Aurinia Pharmaceuticals Inc,COMPANY_NAME
WisdomTree Australia Dividend Index,COMPANY_NAME
Autolus Therapeutics plc,COMPANY_NAME
AutoWeb Inc.,COMPANY_NAME
Yamana Gold Inc. (Canada),COMPANY_NAME
Avista Corporation,COMPANY_NAME
Grupo Aval Acciones y Valores S.A. ADR (Each representing 20 preferred shares),COMPANY_NAME
AeroVironment Inc.,COMPANY_NAME
AvalonBay Communities Inc.,COMPANY_NAME
Avalon GloboCare Corp.,COMPANY_NAME
American Vanguard Corporation ($0.10 Par Value),COMPANY_NAME
Avadel Pharmaceuticals plc,COMPANY_NAME
AVEO Pharmaceuticals Inc.,COMPANY_NAME
Broadcom Inc.,COMPANY_NAME
Avinger Inc.,COMPANY_NAME
Avianca Holdings S.A. American Depositary Shares (Each representing 8 preferred Shares),COMPANY_NAME
Avid Technology Inc.,COMPANY_NAME
Advent Claymore Convertible Securities and Income Fund,COMPANY_NAME
Avalara Inc.,COMPANY_NAME
Avanos Medical Inc.,COMPANY_NAME
Aviat Networks Inc.,COMPANY_NAME
Avon Products Inc.,COMPANY_NAME
AVROBIO Inc.,COMPANY_NAME
Avnet Inc.,COMPANY_NAME
AVX Corporation,COMPANY_NAME
Anavex Life Sciences Corp.,COMPANY_NAME
Avery Dennison Corporation,COMPANY_NAME
Avaya Holdings Corp.,COMPANY_NAME
Alliancebernstein Global High Income Fund,COMPANY_NAME
Armstrong World Industries Inc,COMPANY_NAME
American Water Works Company Inc.,COMPANY_NAME
Aberdeen Global Premier Properties Fund of Beneficial Interest,COMPANY_NAME
American States Water Company,COMPANY_NAME
Aware Inc.,COMPANY_NAME
Cool Holdings Inc.,COMPANY_NAME
Avalon Holdings Corporation,COMPANY_NAME
Axos Financial Inc.,COMPANY_NAME
Abraxas Petroleum Corporation,COMPANY_NAME
Accelerate Diagnostics Inc.,COMPANY_NAME
Anixter International Inc.,COMPANY_NAME
AxoGen Inc.,COMPANY_NAME
WisdomTree Asia Pacific ex-Japan Total Dividend Fund,COMPANY_NAME
American Axle & Manufacturing Holdings Inc.,COMPANY_NAME
Axonics Modulation Technologies Inc.,COMPANY_NAME
Axovant Sciences Ltd.,COMPANY_NAME
American Express Company,COMPANY_NAME
AMREP Corporation,COMPANY_NAME
Axis Capital Holdings Limited,COMPANY_NAME
Axsome Therapeutics Inc.,COMPANY_NAME
Axalta Coating Systems Ltd.,COMPANY_NAME
AXT Inc,COMPANY_NAME
Alexco Resource Corp (Canada),COMPANY_NAME
Atlantica Yield plc,COMPANY_NAME
Acuity Brands Inc.,COMPANY_NAME
Aircastle Limited,COMPANY_NAME
Aytu BioScience Inc.,COMPANY_NAME
Alteryx Inc. Class A,COMPANY_NAME
Astrazeneca PLC,COMPANY_NAME
AutoZone Inc.,COMPANY_NAME
Aspen Technology Inc.,COMPANY_NAME
Azure Power Global Limited Equity Shares,COMPANY_NAME
AzurRx BioPharma Inc.,COMPANY_NAME
Azul S.A. American Depositary Shares (each representing three preferred shares),COMPANY_NAME
AZZ Inc.,COMPANY_NAME
Barnes Group Inc.,COMPANY_NAME
The Boeing Company,COMPANY_NAME
Invesco Taxable Municipal Bond,COMPANY_NAME
Alibaba Group Holding Limited,COMPANY_NAME
Natus Medical Incorporated,COMPANY_NAME
Bank of America Corporation,COMPANY_NAME
BlackRock Municipal Income Investment Quality Trust,COMPANY_NAME
Booz Allen Hamilton Holding Corporation,COMPANY_NAME
Braskem SA ADR,COMPANY_NAME
Brookfield Asset Management Inc.,COMPANY_NAME
Banc of California Inc.,COMPANY_NAME
Bandwidth Inc.,COMPANY_NAME
BancFirst Corporation,COMPANY_NAME
Banner Corporation,COMPANY_NAME
StoneCastle Financial Corp,COMPANY_NAME
Credicorp Ltd.,COMPANY_NAME
Basic Energy Services Inc.,COMPANY_NAME
Bioanalytical Systems Inc.,COMPANY_NAME
Liberty Media Corporation Series A Liberty Braves Common Stock,COMPANY_NAME
Liberty Media Corporation Series C Liberty Braves Common Stock,COMPANY_NAME
Baxter International Inc.,COMPANY_NAME
BlackBerry Limited,COMPANY_NAME
Bed Bath & Beyond Inc.,COMPANY_NAME
Concrete Pumping Holdings Inc.,COMPANY_NAME
Banco Bradesco Sa American Depositary Shares,COMPANY_NAME
Barings BDC Inc.,COMPANY_NAME
Banco Bradesco Sa American Depositary Shares (each representing one),COMPANY_NAME
BlackRock Municipal Income Investment Trust,COMPANY_NAME
Beasley Broadcast Group Inc.,COMPANY_NAME
VanEck Vectors Biotech ETF,COMPANY_NAME
Blackrock Municipal Bond Trust,COMPANY_NAME
BHP Group PlcSponsored ADR,COMPANY_NAME
BlackRock Taxable Municipal Bond Trust of Beneficial Interest,COMPANY_NAME
Barrett Business Services Inc.,COMPANY_NAME
BB&T Corporation,COMPANY_NAME
Brookfield Business Partners L.P. Limited Partnership Units,COMPANY_NAME
Banco Bilbao Vizcaya Argentaria S.A.,COMPANY_NAME
Build-A-Bear Workshop Inc.,COMPANY_NAME
BBX Capital Corporation Class A,COMPANY_NAME
Best Buy Co. Inc.,COMPANY_NAME
Brunswick Corporation,COMPANY_NAME
Bison Capital Acquisition Corp.,COMPANY_NAME
BCB Bancorp Inc. (NJ),COMPANY_NAME
Boise Cascade L.L.C.,COMPANY_NAME
BCE Inc.,COMPANY_NAME
Bonanza Creek Energy Inc.,COMPANY_NAME
Banco De Chile ADS,COMPANY_NAME
Brainstorm Cell Therapeutics Inc.,COMPANY_NAME
iPath Pure Beta Broad Commodity ETN,COMPANY_NAME
BayCom Corp,COMPANY_NAME
